,station_name,heating_design_temp_F,design_wind_speed (mph)
0,ALYESKA AK US,,
1,ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT AK US,-5.8,4
2,ANNETTE WEATHER SERVICE OFFICE AIRPORT AK US,19.4,8.1
3,AUKE BAY AK US,,
4,BARROW W POST W ROGERS AIRPORT AK US,-36.2,7.6
5,BETHEL AIRPORT AK US,-23.8,9.2
6,BETTLES AIRPORT AK US,-46.7,1.3
7,BIG DELTA AIRPORT AK US,-42.7,3.1
8,BIG RIVER LAKES AK US,,
9,CANNERY CREEK AK US,,
10,COLD BAY AIRPORT AK US,10.4,15.4
11,COLLEGE 5 NW AK US,,
12,COLLEGE OBSERVATORY AK US,,
13,COOPER LANDING 5 W AK US,,
14,CORDOVA M K SMITH AIRPORT AK US,0.7,0.4
15,DUTCH HARBOR AK US,,
16,EAGLE AIRPORT AK US,,
17,EIELSON FIELD AK US,-39.6,1.3
18,FAIRBANKS INTERNATIONAL AIRPORT AK US,-40,1.1
19,GLEN ALPS AK US,,
20,GULKANA AIRPORT AK US,-40.5,3.4
21,HOMER 8 NW AK US,,
22,HOMER AIRPORT AK US,3.7,6.7
23,ILIAMNA AIRPORT AK US,-16.1,10.5
24,JUNEAU INTERNATIONAL AIRPORT AK US,7.7,4.3
25,KENAI MUNICIPAL AIRPORT AK US,-16.8,2.2
26,KING SALMON AIRPORT AK US,-19.3,6.3
27,KITOI BAY AK US,,
28,KODIAK AIRPORT AK US,11.8,14.8
29,KOTZEBUE RALPH WEIN MEMORIAL AIRPORT AK ,-31.2,6.3
30,KUPARUK AK US,,
31,LITTLE PORT WALTER AK US,,
32,MAIN BAY AK US,,
33,MATANUSKA AGRICULTURAL EXPERIMENT STATION AK US,,
34,MCGRATH AIRPORT AK US,-42.7,1.3
35,NABESNA AK US,,
36,NOME MUNICIPAL AIRPORT AK US,-25.4,3.1
37,NORTH POLE AK US,,
38,NORTHWAY AIRPORT AK US,-46.7,0.2
39,PORT ALSWORTH AK US,,
40,SEWARD AIRPORT AK US,7.2,20.8
41,SITKA AIRPORT AK US,20.1,6.9
42,ST PAUL ISLAND AIRPORT AK US,4.1,17.7
43,SUTTON 1 W AK US,,
44,TALKEETNA AIRPORT AK US,-20.4,2.9
45,TANANA CALHOUN MEMORIAL AIRPORT AK US,,
46,TOK AK US,,
47,UNIVERSITY EXPERIMENT STATION AK US,,
48,VALDEZ WEATHER SERVICE OFFICE AK US,7.3,13.9
49,WHITES CROSSING AK US,,
50,WRANGELL AIRPORT AK US,14,6
51,YAKUTAT AIRPORT AK US,4.5,1.8
