,tmy_id,station_name,99% DB Temp (F),Mean Coincident Wind Speed 99.6% (mph),Latitude,Longitude
0,704540.0,Adak NAS,23.0,4.5,51.88N,176.65W
1,702730.0,Anchorage Intl AP,-5.8,4.0,61.17N,150.02W
2,702735.0,Anchorage Merrill Field,-6.7,1.6,61.22N,149.85W
3,703980.0,Annette Island AP,19.4,8.1,55.02N,131.57W
4,700260.0,Barrow W Post-W Rogers Arpt [NSA - ARM],-36.2,7.6,71.30N,156.77W
6,702190.0,Bethel Airport,-23.8,9.2,60.77N,161.80W
7,701740.0,Bettles Field,-46.7,1.3,66.92N,151.52W
8,702670.0,Big Delta Allen AAF,-42.7,3.1,64.00N,145.72W
9,703160.0,Cold Bay Arpt,10.4,15.4,55.20N,162.72W
10,702960.0,Cordova,0.7,0.4,60.50N,145.50W
11,700637.0,Deadhorse,-42.5,9.6,70.20N,148.48W
12,703210.0,Dillingham (AMOS),-14.8,5.1,59.05N,158.52W
13,702650.0,Fairbanks/Eielson A,-39.6,1.3,64.67N,147.10W
14,702720.0,Anchorage/Elmendorf,-9.8,5.1,61.25N,149.80W
15,702610.0,Fairbanks Intl Arpt,-40.0,1.1,64.82N,147.87W
17,701940.0,Fort Yukon,-50.4,0.9,66.57N,145.27W
19,702710.0,Gulkana Intermediate Field,-40.5,3.4,62.15N,145.43W
20,703410.0,Homer Arpt,3.7,6.7,59.65N,151.48W
21,703400.0,Iliamna Arpt,-16.1,10.5,59.75N,154.92W
22,703810.0,Juneau Intl Arpt,7.7,4.3,58.35N,134.58W
23,702590.0,Kenai Municipal AP,-16.8,2.2,60.58N,151.23W
24,703950.0,Ketchikan Intl AP,18.9,5.6,55.37N,131.72W
25,703260.0,King Salmon Arpt,-19.3,6.3,58.67N,156.63W
26,703500.0,Kodiak Airport,11.8,14.8,57.75N,152.32W
27,701330.0,Kotzebue Ralph Wein Memorial,-31.2,6.3,66.87N,162.62W
28,702310.0,McGrath Arpt,-42.7,1.3,62.97N,155.62W
29,703430.0,Middleton Island Aut,21.9,15.7,59.45N,146.32W
30,702600.0,Nenana Municipal AP,-44.0,2.0,64.55N,149.10W
31,702000.0,Nome Municipal Arpt,-25.4,3.1,64.50N,165.42W
32,702910.0,Northway Airport,-46.7,0.2,62.97N,141.93W
33,703330.0,Port Heiden,-3.3,14.3,56.95N,158.62W
34,702005.0,Saint Mary`S (AWOS),-21.3,5.6,62.07N,163.30W
35,702770.0,Seward,7.2,20.8,60.12N,149.45W
36,704140.0,Shemya AFB,23.9,15.0,52.72N,174.12E
37,703710.0,Sitka Japonski AP,20.1,6.9,57.05N,135.37W
38,702595.0,Soldotna,-20.7,2.0,60.48N,151.03W
39,703080.0,St Paul Island Arpt,4.1,17.7,57.15N,170.22W
40,702510.0,Talkeetna State Arpt,-20.4,2.9,62.28N,150.10W
41,702070.0,Unalakleet Field,-27.6,3.6,63.88N,160.80W
42,702750.0,Valdez Wso,7.3,13.9,61.13N,146.35W
43,702757.0,Whittier,8.8,27.1,60.77N,148.68W
44,703870.0,Wrangell,14.0,6.0,56.48N,132.37W
45,703610.0,Yakutat State Arpt,4.5,1.8,59.52N,139.67W
